newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,*)))))))))))))));	105	135	560	0	1	2
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,*))))))))))))));	102	134	558	3	2	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,*))))))))))))));	101	133	555	9	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,*))))))))))))));	100	132	551	18	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,*)))))))))))));	97	131	549	21	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,*)))))))))))));	97	131	548	27	2	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,*))))))))))))));	99	131	546	30	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,*)))))))))))));	96	130	544	33	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,*)))))))))))));	95	129	541	39	3	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,*)))))))))))));	95	129	539	54	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,*))))))))))));	92	128	537	57	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,*))))))))))))));	98	130	540	45	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,*)))))))))))));	95	129	538	48	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,*)))))))))))));	94	128	535	54	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,*)))))))))))));	93	127	531	63	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,*))))))))))));	90	126	529	66	4	32
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,*))))))))))));	90	126	528	72	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,*)))))))))))));	93	127	528	90	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,*))))))))))));	90	126	526	93	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,*))))))))))));	89	125	523	99	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,*))))))))))));	90	126	524	108	2	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,*)))))))))));	87	125	522	111	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,*)))))))))));	84	124	520	114	4	128
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,*))))))))))))));	97	129	533	63	2	4
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,*)))))))))))));	94	128	531	66	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,*)))))))))))));	93	127	528	72	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,*)))))))))))));	92	126	524	81	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,*))))))))))));	89	125	522	84	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,*))))))))))));	89	125	521	90	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,*)))))))))))));	91	125	519	93	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,*))))))))))));	88	124	517	96	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,*))))))))))));	87	123	514	102	4	16
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,*))))))))))));	87	123	512	117	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,*)))))))))));	84	122	510	120	4	32
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,*)))))))))))));	91	125	515	135	2	4
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,*))))))))))));	88	124	513	138	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,*))))))))))));	87	123	510	144	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,*))))))))))));	86	122	506	153	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,*)))))))))));	83	121	504	156	4	32
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,*)))))))))));	83	121	503	162	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,*))))))))))));	87	123	506	180	2	4
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,*)))))))))));	84	122	504	183	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,*)))))))))));	83	121	501	189	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,*))))))))));	84	122	504	183	3	16
(*,(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,*))))))))));	81	121	502	186	4	64
(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,*)))))))))));	80	120	499	192	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,*))))))))))))));	96	128	525	84	2	4
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,((*,*),(*,*)))))))))))));	93	127	523	87	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,(*,*)))))))))))));	92	126	520	93	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,(*,*)))))))))))));	91	125	516	102	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),((*,*),(*,*))))))))))));	88	124	514	105	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,(*,*)),(*,(*,*))))))))))));	88	124	513	111	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,(*,*)))))))))))));	90	124	511	114	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,((*,*),(*,*))))))))))));	87	123	509	117	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,(*,*))))))))))));	86	122	506	123	4	16
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,(*,*))))))))))));	86	122	504	138	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),((*,*),(*,*)))))))))));	83	121	502	141	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,(*,*)))))))))))));	89	123	505	129	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,((*,*),(*,*))))))))))));	86	122	503	132	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,(*,*))))))))))));	85	121	500	138	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,(*,*))))))))))));	84	120	496	147	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),((*,*),(*,*)))))))))));	81	119	494	150	5	64
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,(*,*)),(*,(*,*)))))))))));	81	119	493	156	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,(*,*))))))))))));	84	120	493	174	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,((*,*),(*,*)))))))))));	81	119	491	177	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,(*,*)))))))))));	80	118	488	183	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,*))),(*,(*,(*,*)))))))))));	81	119	489	192	3	16
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,*))),((*,*),(*,*))))))))));	78	118	487	195	4	32
(*,(*,(*,(*,(*,(*,((*,*),(((*,*),(*,*)),((*,*),(*,*))))))))));	75	117	485	198	5	256
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,*)))))))))))));	89	123	500	189	2	4
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,((*,*),(*,*))))))))))));	86	122	498	192	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,(*,*))))))))))));	85	121	495	198	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,(*,*))))))))))));	84	120	491	207	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),((*,*),(*,*)))))))))));	81	119	489	210	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,*)))))))))));	81	119	488	216	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,(*,*))))))))))));	83	119	486	219	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,((*,*),(*,*)))))))))));	80	118	484	222	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,(*,*)))))))))));	79	117	481	228	4	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,*)))))))))));	79	117	479	243	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),((*,*),(*,*))))))))));	76	116	477	246	4	32
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,*))))))))))));	84	120	485	270	2	4
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,((*,*),(*,*)))))))))));	81	119	483	273	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,(*,*)))))))))));	80	118	480	279	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,(*,*)))))))))));	79	117	476	288	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),((*,*),(*,*))))))))));	76	116	474	291	4	32
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,*))))))))));	76	116	473	297	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,*)))))))))));	81	119	480	300	2	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,*))))))))));	78	118	478	303	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,*))))))))));	77	117	475	309	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,*)))))))));	81	119	483	273	3	16
(*,(*,(*,(*,(*,(*,((*,(*,((*,*),(*,*)))),((*,*),(*,*)))))))));	78	118	481	276	4	64
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),(*,((*,*),(*,*))))))))));	75	117	476	306	4	128
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,(*,*))))))))));	74	116	473	312	4	32
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,(*,*)))),((*,*),(*,*)))))))));	77	117	478	282	4	32
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,(*,*)))))))))));	76	116	474	291	4	32
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),((*,*),(*,*))))))))));	73	115	472	294	5	128
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,*))))))))));	73	115	471	300	4	64
(*,(*,(*,(*,(*,(*,(((*,*),(*,(*,*))),((*,*),(*,(*,*))))))))));	73	115	470	318	4	32
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,(*,*))))))))))))));	95	127	516	108	2	4
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,((*,*),(*,*)))))))))))));	92	126	514	111	3	16
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,((*,*),(*,(*,*)))))))))))));	91	125	511	117	3	8
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,(*,(*,*)))))))))))));	90	124	507	126	3	8
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),((*,*),(*,*))))))))))));	87	123	505	129	4	32
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,(*,*)),(*,(*,*))))))))))));	87	123	504	135	3	16
(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,(*,(*,*)))))))))))));	89	123	502	138	3	8
(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,((*,*),(*,*))))))))))));	86	122	500	141	4	32
(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),((*,*),(*,(*,*))))))))))));	85	121	497	147	4	16
(*,(*,(*,(*,(*,((*,*),(*,(*,((*,(*,*)),(*,(*,(*,*))))))))))));	85	121	495	162	3	8
(*,(*,(*,(*,(*,((*,*),(*,(*,((*,(*,*)),((*,*),(*,*)))))))))));	82	120	493	165	4	32
(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,(*,(*,*)))))))))))));	88	122	496	153	3	8
(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,((*,*),(*,*))))))))))));	85	121	494	156	4	32
(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,((*,*),(*,(*,*))))))))))));	84	120	491	162	4	16
(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,(*,(*,*))))))))))));	83	119	487	171	4	16
(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),((*,*),(*,*)))))))))));	80	118	485	174	5	64
