newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,*)))))))))))));	78	104	364	0	1	2
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,*))))))))))));	75	103	362	3	2	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,*))))))))))));	74	102	359	9	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,*))))))))))));	73	101	355	18	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,*)))))))))));	70	100	353	21	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,*)))))))))));	70	100	352	27	2	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,*))))))))))));	72	100	350	30	2	4
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,*)))))))))));	69	99	348	33	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,*)))))))))));	68	98	345	39	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,*)))))))))));	68	98	343	54	2	4
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,*))))))))));	65	97	341	57	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,*))))))))))));	71	99	344	45	2	4
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,*)))))))))));	68	98	342	48	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,*)))))))))));	67	97	339	54	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,*)))))))))));	66	96	335	63	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,*))))))))));	63	95	333	66	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,*))))))))));	63	95	332	72	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,*)))))))))));	66	96	332	90	2	4
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,*))))))))));	63	95	330	93	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,*))))))))));	62	94	327	99	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,*))))))))));	63	95	328	108	2	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,*)))))))));	60	94	326	111	3	16
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,*)))))))));	57	93	324	114	4	128
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,*))))))))))));	70	98	337	63	2	4
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,*)))))))))));	67	97	335	66	3	16
(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,*)))))))))));	66	96	332	72	3	8
(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,*)))))))))));	65	95	328	81	3	8
(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,*))))))))));	62	94	326	84	4	32
(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,*))))))))));	62	94	325	90	3	16
(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,*)))))))))));	64	94	323	93	3	8
(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,*))))))))));	61	93	321	96	4	32
(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,*))))))))));	60	92	318	102	4	16
(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,*))))))))));	60	92	316	117	3	8
(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,*)))))))));	57	91	314	120	4	32
(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,*)))))))))));	64	94	319	135	2	4
(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,*))))))))));	61	93	317	138	3	16
(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,*))))))))));	60	92	314	144	3	8
(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,*))))))))));	59	91	310	153	3	8
(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,*)))))))));	56	90	308	156	4	32
(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,*)))))))));	56	90	307	162	3	16
(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,*))))))))));	60	92	310	180	2	4
(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,*)))))))));	57	91	308	183	3	16
(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,*)))))))));	56	90	305	189	3	8
(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,*))))))));	57	91	308	183	3	16
(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,*))))))));	54	90	306	186	4	64
(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,*)))))))));	53	89	303	192	4	32
(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,*))))))))))));	69	97	329	84	2	4
(*,(*,(*,(*,((*,*),(*,(*,(*,(*,((*,*),(*,*)))))))))));	66	96	327	87	3	16
(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,(*,*)))))))))));	65	95	324	93	3	8
(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,(*,*)))))))))));	64	94	320	102	3	8
(*,(*,(*,(*,((*,*),(*,(*,((*,*),((*,*),(*,*))))))))));	61	93	318	105	4	32
(*,(*,(*,(*,((*,*),(*,(*,((*,(*,*)),(*,(*,*))))))))));	61	93	317	111	3	16
(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,(*,*)))))))))));	63	93	315	114	3	8
(*,(*,(*,(*,((*,*),(*,((*,*),(*,((*,*),(*,*))))))))));	60	92	313	117	4	32
(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,(*,*))))))))));	59	91	310	123	4	16
(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,(*,*))))))))));	59	91	308	138	3	8
(*,(*,(*,(*,((*,*),(*,((*,(*,*)),((*,*),(*,*)))))))));	56	90	306	141	4	32
(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,(*,*)))))))))));	62	92	309	129	3	8
(*,(*,(*,(*,((*,*),((*,*),(*,(*,((*,*),(*,*))))))))));	59	91	307	132	4	32
(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,(*,*))))))))));	58	90	304	138	4	16
(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,(*,*))))))))));	57	89	300	147	4	16
(*,(*,(*,(*,((*,*),((*,*),((*,*),((*,*),(*,*)))))))));	54	88	298	150	5	64
(*,(*,(*,(*,((*,*),((*,*),((*,(*,*)),(*,(*,*)))))))));	54	88	297	156	4	32
(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,(*,*))))))))));	57	89	297	174	3	8
(*,(*,(*,(*,((*,*),((*,(*,*)),(*,((*,*),(*,*)))))))));	54	88	295	177	4	32
(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,(*,*)))))))));	53	87	292	183	4	16
(*,(*,(*,(*,((*,*),((*,(*,(*,*))),(*,(*,(*,*)))))))));	54	88	293	192	3	16
(*,(*,(*,(*,((*,*),((*,(*,(*,*))),((*,*),(*,*))))))));	51	87	291	195	4	32
(*,(*,(*,(*,((*,*),(((*,*),(*,*)),((*,*),(*,*))))))));	48	86	289	198	5	256
(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,*)))))))))));	62	92	304	189	2	4
(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,((*,*),(*,*))))))))));	59	91	302	192	3	16
(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,(*,*))))))))));	58	90	299	198	3	8
(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,(*,*))))))))));	57	89	295	207	3	8
(*,(*,(*,(*,((*,(*,*)),(*,((*,*),((*,*),(*,*)))))))));	54	88	293	210	4	32
(*,(*,(*,(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,*)))))))));	54	88	292	216	3	16
(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,(*,*))))))))));	56	88	290	219	3	8
(*,(*,(*,(*,((*,(*,*)),((*,*),(*,((*,*),(*,*)))))))));	53	87	288	222	4	32
