newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,*))))))))))))))));	120	152	680	0	1	2
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,*)))))))))))))));	117	151	678	3	2	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,*)))))))))))))));	116	150	675	9	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,*)))))))))))))));	115	149	671	18	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,*))))))))))))));	112	148	669	21	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,*))))))))))))));	112	148	668	27	2	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,*)))))))))))))));	114	148	666	30	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,*))))))))))))));	111	147	664	33	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,*))))))))))))));	110	146	661	39	3	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,*))))))))))))));	110	146	659	54	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,*)))))))))))));	107	145	657	57	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,*)))))))))))))));	113	147	660	45	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,*))))))))))))));	110	146	658	48	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,*))))))))))))));	109	145	655	54	3	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,*))))))))))))));	108	144	651	63	3	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,*)))))))))))));	105	143	649	66	4	32
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,*)))))))))))));	105	143	648	72	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,*))))))))))))));	108	144	648	90	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,*)))))))))))));	105	143	646	93	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,*)))))))))))));	104	142	643	99	3	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,*)))))))))))));	105	143	644	108	2	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,*))))))))))));	102	142	642	111	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,*))))))))))));	99	141	640	114	4	128
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,*)))))))))))))));	112	146	653	63	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,*))))))))))))));	109	145	651	66	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,*))))))))))))));	108	144	648	72	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,*))))))))))))));	107	143	644	81	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,*)))))))))))));	104	142	642	84	4	32
