newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,*)))))))))))));	104	142	641	90	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,*))))))))))))));	106	142	639	93	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,*)))))))))))));	103	141	637	96	4	32
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,*)))))))))))));	102	140	634	102	4	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,*)))))))))))));	102	140	632	117	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,*))))))))))));	99	139	630	120	4	32
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,*))))))))))))));	106	142	635	135	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,*)))))))))))));	103	141	633	138	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,*)))))))))))));	102	140	630	144	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,*)))))))))))));	101	139	626	153	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,*))))))))))));	98	138	624	156	4	32
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,*))))))))))));	98	138	623	162	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,*)))))))))))));	102	140	626	180	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,*))))))))))));	99	139	624	183	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,*))))))))))));	98	138	621	189	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,*)))))))))));	99	139	624	183	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,*)))))))))));	96	138	622	186	4	64
(*,(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,*))))))))))));	95	137	619	192	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,*)))))))))))))));	111	145	645	84	2	4
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,((*,*),(*,*))))))))))))));	108	144	643	87	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,(*,*))))))))))))));	107	143	640	93	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,(*,*))))))))))))));	106	142	636	102	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),((*,*),(*,*)))))))))))));	103	141	634	105	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,(*,*)),(*,(*,*)))))))))))));	103	141	633	111	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,(*,*))))))))))))));	105	141	631	114	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,((*,*),(*,*)))))))))))));	102	140	629	117	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,(*,*)))))))))))));	101	139	626	123	4	16
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,(*,*)))))))))))));	101	139	624	138	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),((*,*),(*,*))))))))))));	98	138	622	141	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,(*,*))))))))))))));	104	140	625	129	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,((*,*),(*,*)))))))))))));	101	139	623	132	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,(*,*)))))))))))));	100	138	620	138	4	16
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,(*,*)))))))))))));	99	137	616	147	4	16
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),((*,*),(*,*))))))))))));	96	136	614	150	5	64
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,(*,*)),(*,(*,*))))))))))));	96	136	613	156	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,(*,*)))))))))))));	99	137	613	174	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,((*,*),(*,*))))))))))));	96	136	611	177	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,(*,*))))))))))));	95	135	608	183	4	16
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,*))),(*,(*,(*,*))))))))))));	96	136	609	192	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,*))),((*,*),(*,*)))))))))));	93	135	607	195	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),(((*,*),(*,*)),((*,*),(*,*)))))))))));	90	134	605	198	5	256
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,*))))))))))))));	104	140	620	189	2	4
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,((*,*),(*,*)))))))))))));	101	139	618	192	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,(*,*)))))))))))));	100	138	615	198	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,(*,*)))))))))))));	99	137	611	207	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),((*,*),(*,*))))))))))));	96	136	609	210	4	32
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,*))))))))))));	96	136	608	216	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,(*,*)))))))))))));	98	136	606	219	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,((*,*),(*,*))))))))))));	95	135	604	222	4	32
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,(*,*))))))))))));	94	134	601	228	4	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,*))))))))))));	94	134	599	243	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),((*,*),(*,*)))))))))));	91	133	597	246	4	32
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,*)))))))))))));	99	137	605	270	2	4
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,((*,*),(*,*))))))))))));	96	136	603	273	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,(*,*))))))))))));	95	135	600	279	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,(*,*))))))))))));	94	134	596	288	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),((*,*),(*,*)))))))))));	91	133	594	291	4	32
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,*)))))))))));	91	133	593	297	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,*))))))))))));	96	136	600	300	2	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,*)))))))))));	93	135	598	303	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,*)))))))))));	92	134	595	309	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,*))))))))));	96	136	603	273	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,((*,*),(*,*)))),((*,*),(*,*))))))))));	93	135	601	276	4	64
(*,(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),(*,((*,*),(*,*)))))))))));	90	134	596	306	4	128
(*,(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,(*,*)))))))))));	89	133	593	312	4	32
(*,(*,(*,(*,(*,(*,(*,((*,((*,*),(*,(*,*)))),((*,*),(*,*))))))))));	92	134	598	282	4	32
(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,(*,*))))))))))));	91	133	594	291	4	32
(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),((*,*),(*,*)))))))))));	88	132	592	294	5	128
(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,*)))))))))));	88	132	591	300	4	64
(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,(*,*))),((*,*),(*,(*,*)))))))))));	88	132	590	318	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,(*,*)))))))))))))));	110	144	636	108	2	4
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,((*,*),(*,*))))))))))))));	107	143	634	111	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,((*,*),(*,(*,*))))))))))))));	106	142	631	117	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,(*,(*,*))))))))))))));	105	141	627	126	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),((*,*),(*,*)))))))))))));	102	140	625	129	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,(*,*)),(*,(*,*)))))))))))));	102	140	624	135	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,(*,(*,*))))))))))))));	104	140	622	138	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,((*,*),(*,*)))))))))))));	101	139	620	141	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),((*,*),(*,(*,*)))))))))))));	100	138	617	147	4	16
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,(*,*)),(*,(*,(*,*)))))))))))));	100	138	615	162	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,(*,*)),((*,*),(*,*))))))))))));	97	137	613	165	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,(*,(*,*))))))))))))));	103	139	616	153	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,((*,*),(*,*)))))))))))));	100	138	614	156	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,((*,*),(*,(*,*)))))))))))));	99	137	611	162	4	16
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,(*,(*,*)))))))))))));	98	136	607	171	4	16
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),((*,*),(*,*))))))))))));	95	135	605	174	5	64
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,(*,*)),(*,(*,*))))))))))));	95	135	604	180	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,(*,(*,*)))))))))))));	98	136	604	198	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,((*,*),(*,*))))))))))));	95	135	602	201	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),((*,*),(*,(*,*))))))))))));	94	134	599	207	4	16
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,(*,*))),(*,(*,(*,*))))))))))));	95	135	600	216	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,(*,*))),((*,*),(*,*)))))))))));	92	134	598	219	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,(((*,*),(*,*)),((*,*),(*,*)))))))))));	89	133	596	222	5	256
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,(*,(*,*))))))))))))));	102	138	609	171	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,((*,*),(*,*)))))))))))));	99	137	607	174	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,((*,*),(*,(*,*)))))))))))));	98	136	604	180	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,(*,(*,*)))))))))))));	97	135	600	189	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),((*,*),(*,*))))))))))));	94	134	598	192	5	64
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,(*,*)),(*,(*,*))))))))))));	94	134	597	198	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,(*,(*,*)))))))))))));	96	134	595	201	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,((*,*),(*,*))))))))))));	93	133	593	204	5	64
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),((*,*),(*,(*,*))))))))))));	92	132	590	210	5	32
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,(*,*)),(*,(*,(*,*))))))))))));	92	132	588	225	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,(*,*)),((*,*),(*,*)))))))))));	89	131	586	228	5	64
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,(*,(*,*)))))))))))));	96	134	591	243	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,((*,*),(*,*))))))))))));	93	133	589	246	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,((*,*),(*,(*,*))))))))))));	92	132	586	252	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,(*,(*,*))))))))))));	91	131	582	261	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),((*,*),(*,*)))))))))));	88	130	580	264	5	64
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,(*,*)),(*,(*,*)))))))))));	88	130	579	270	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,*))),(*,(*,(*,(*,*))))))))))));	92	132	582	288	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,*))),(*,((*,*),(*,*)))))))))));	89	131	580	291	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,*))),((*,*),(*,(*,*)))))))))));	88	130	577	297	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,(*,(*,*)))),((*,*),(*,*))))))))));	89	131	580	291	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,((*,*),(*,*))),((*,*),(*,*))))))))));	86	130	578	294	5	128
(*,(*,(*,(*,(*,(*,((*,*),(((*,*),(*,*)),((*,*),(*,(*,*)))))))))));	85	129	575	300	5	64
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,(*,*))))))))))))));	102	138	603	252	2	4
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,((*,*),(*,*)))))))))))));	99	137	601	255	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,((*,*),(*,(*,*)))))))))))));	98	136	598	261	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,(*,(*,*)))))))))))));	97	135	594	270	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),((*,*),(*,*))))))))))));	94	134	592	273	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,(*,*)),(*,(*,*))))))))))));	94	134	591	279	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,(*,(*,*)))))))))))));	96	134	589	282	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,((*,*),(*,*))))))))))));	93	133	587	285	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),((*,*),(*,(*,*))))))))))));	92	132	584	291	4	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,(*,*))))))))))));	92	132	582	306	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,(*,*)),((*,*),(*,*)))))))))));	89	131	580	309	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,(*,(*,*)))))))))))));	95	133	583	297	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,((*,*),(*,*))))))))))));	92	132	581	300	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,((*,*),(*,(*,*))))))))))));	91	131	578	306	4	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,(*,(*,*))))))))))));	90	130	574	315	4	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),((*,*),(*,*)))))))))));	87	129	572	318	5	64
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,(*,*)),(*,(*,*)))))))))));	87	129	571	324	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,(*,*))))))))))));	90	130	571	342	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,((*,*),(*,*)))))))))));	87	129	569	345	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),((*,*),(*,(*,*)))))))))));	86	128	566	351	4	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,(*,*))),(*,(*,(*,*)))))))))));	87	129	567	360	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,(*,*))),((*,*),(*,*))))))))));	84	128	565	363	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),(((*,*),(*,*)),((*,*),(*,*))))))))));	81	127	563	366	5	256
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,(*,*)))))))))))));	96	134	581	378	2	4
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,((*,*),(*,*))))))))))));	93	133	579	381	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,((*,*),(*,(*,*))))))))))));	92	132	576	387	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,(*,(*,*))))))))))));	91	131	572	396	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),((*,*),(*,*)))))))))));	88	130	570	399	4	32
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,(*,*)),(*,(*,*)))))))))));	88	130	569	405	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,(*,(*,*))))))))))));	90	130	567	408	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,((*,*),(*,*)))))))))));	87	129	565	411	4	32
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),((*,*),(*,(*,*)))))))))));	86	128	562	417	4	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,(*,*)))))))))));	86	128	560	432	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,(*,*)),((*,*),(*,*))))))))));	83	127	558	435	4	32
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,(*,*))))))))))));	92	132	570	450	2	4
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),(*,(*,((*,*),(*,*)))))))))));	89	131	568	453	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,(*,*)))))))))));	88	130	565	459	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,(*,*)))))))))));	87	129	561	468	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),((*,*),(*,*))))))))));	84	128	559	471	4	32
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,(*,*)),(*,(*,*))))))))));	84	128	558	477	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,(*,*))))),(*,((*,*),(*,*))))))))));	89	131	568	453	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,(*,*))))))))));	88	130	565	459	3	8
(*,(*,(*,(*,(*,(*,((*,(*,(*,(*,(*,(*,*)))))),((*,*),(*,*)))))))));	93	133	579	381	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,((*,*),(*,*))))),((*,*),(*,*)))))))));	90	132	577	384	4	64
(*,(*,(*,(*,(*,(*,((*,(*,((*,*),(*,*)))),(*,((*,*),(*,*))))))))));	86	130	566	456	4	64
(*,(*,(*,(*,(*,(*,((*,(*,((*,*),(*,*)))),((*,*),(*,(*,*))))))))));	85	129	563	462	4	32
(*,(*,(*,(*,(*,(*,((*,(*,((*,*),(*,(*,*))))),((*,*),(*,*)))))))));	89	131	574	390	4	32
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),(*,((*,*),(*,(*,*)))))))))));	85	129	563	462	4	32
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,(*,(*,*)))))))))));	84	128	559	471	4	32
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),((*,*),(*,*))))))))));	81	127	557	474	5	128
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,*))),((*,(*,*)),(*,(*,*))))))))));	81	127	556	480	4	64
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,(*,*)))),((*,*),(*,(*,*))))))))));	84	128	560	468	4	16
(*,(*,(*,(*,(*,(*,((*,((*,*),(*,(*,(*,*))))),((*,*),(*,*)))))))));	88	130	570	399	4	32
(*,(*,(*,(*,(*,(*,((*,((*,*),((*,*),(*,*)))),((*,*),(*,*)))))))));	85	129	568	402	5	128
(*,(*,(*,(*,(*,(*,((*,((*,(*,*)),(*,(*,*)))),((*,*),(*,*)))))))));	85	129	567	408	4	64
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,(*,(*,*))))))))))));	87	129	565	411	4	32
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,((*,*),(*,*)))))))))));	84	128	563	414	5	128
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),((*,*),(*,(*,*)))))))))));	83	127	560	420	5	64
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,(*,*)))))))))));	83	127	558	435	4	32
(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,(*,*)),((*,*),(*,*))))))))));	80	126	556	438	5	128
(*,(*,(*,(*,(*,(*,(((*,*),(*,(*,*))),((*,*),(*,(*,(*,*)))))))))));	83	127	556	477	4	16
(*,(*,(*,(*,(*,(*,(((*,*),(*,(*,*))),((*,*),((*,*),(*,*))))))))));	80	126	554	480	5	64
(*,(*,(*,(*,(*,(*,(((*,*),(*,(*,*))),((*,(*,*)),(*,(*,*))))))))));	80	126	553	486	4	32
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,(*,(*,*)))))))))))))));	109	143	626	135	2	4
