newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,((*,*),((*,(*,*)),(*,(*,(*,(*,*))))))));	34	62	153	174	3	8
(*,(*,((*,*),((*,(*,*)),(*,((*,*),(*,*)))))));	31	61	151	177	4	32
(*,(*,((*,*),((*,(*,*)),((*,*),(*,(*,*)))))));	30	60	148	183	4	16
(*,(*,((*,*),((*,(*,(*,*))),(*,(*,(*,*)))))));	31	61	149	192	3	16
(*,(*,((*,*),((*,(*,(*,*))),((*,*),(*,*))))));	28	60	147	195	4	32
(*,(*,((*,*),(((*,*),(*,*)),((*,*),(*,*))))));	25	59	145	198	5	256
(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,*)))))))));	39	65	160	189	2	4
(*,(*,((*,(*,*)),(*,(*,(*,((*,*),(*,*))))))));	36	64	158	192	3	16
(*,(*,((*,(*,*)),(*,(*,((*,*),(*,(*,*))))))));	35	63	155	198	3	8
(*,(*,((*,(*,*)),(*,((*,*),(*,(*,(*,*))))))));	34	62	151	207	3	8
(*,(*,((*,(*,*)),(*,((*,*),((*,*),(*,*)))))));	31	61	149	210	4	32
(*,(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,*)))))));	31	61	148	216	3	16
(*,(*,((*,(*,*)),((*,*),(*,(*,(*,(*,*))))))));	33	61	146	219	3	8
(*,(*,((*,(*,*)),((*,*),(*,((*,*),(*,*)))))));	30	60	144	222	4	32
(*,(*,((*,(*,*)),((*,*),((*,*),(*,(*,*)))))));	29	59	141	228	4	16
(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,*)))))));	29	59	139	243	3	8
(*,(*,((*,(*,*)),((*,(*,*)),((*,*),(*,*))))));	26	58	137	246	4	32
(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,*))))))));	34	62	145	270	2	4
(*,(*,((*,(*,(*,*))),(*,(*,((*,*),(*,*)))))));	31	61	143	273	3	16
(*,(*,((*,(*,(*,*))),(*,((*,*),(*,(*,*)))))));	30	60	140	279	3	8
(*,(*,((*,(*,(*,*))),((*,*),(*,(*,(*,*)))))));	29	59	136	288	3	8
(*,(*,((*,(*,(*,*))),((*,*),((*,*),(*,*))))));	26	58	134	291	4	32
(*,(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,*))))));	26	58	133	297	3	16
