newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,*)))))));	21	35	56	0	1	2
(*,(*,(*,(*,((*,*),(*,*))))));	18	34	54	3	2	8
(*,(*,(*,((*,*),(*,(*,*))))));	17	33	51	9	2	4
(*,(*,((*,*),(*,(*,(*,*))))));	16	32	47	18	2	4
(*,(*,((*,*),((*,*),(*,*)))));	13	31	45	21	3	16
(*,(*,((*,(*,*)),(*,(*,*)))));	13	31	44	27	2	8
(*,((*,*),(*,(*,(*,(*,*))))));	15	31	42	30	2	4
(*,((*,*),(*,((*,*),(*,*)))));	12	30	40	33	3	16
(*,((*,*),((*,*),(*,(*,*)))));	11	29	37	39	3	8
(*,((*,(*,*)),(*,(*,(*,*)))));	11	29	35	54	2	4
(*,((*,(*,*)),((*,*),(*,*))));	8	28	33	57	3	16
((*,*),(*,(*,(*,(*,(*,*))))));	14	30	36	45	2	4
((*,*),(*,(*,((*,*),(*,*)))));	11	29	34	48	3	16
((*,*),(*,((*,*),(*,(*,*)))));	10	28	31	54	3	8
((*,*),((*,*),(*,(*,(*,*)))));	9	27	27	63	3	8
((*,*),((*,*),((*,*),(*,*))));	6	26	25	66	4	32
((*,*),((*,(*,*)),(*,(*,*))));	6	26	24	72	3	16
((*,(*,*)),(*,(*,(*,(*,*)))));	9	27	24	90	2	4
((*,(*,*)),(*,((*,*),(*,*))));	6	26	22	93	3	16
((*,(*,*)),((*,*),(*,(*,*))));	5	25	19	99	3	8
((*,(*,(*,*))),(*,(*,(*,*))));	6	26	20	108	2	8
((*,(*,(*,*))),((*,*),(*,*)));	3	25	18	111	3	16
(((*,*),(*,*)),((*,*),(*,*)));	0	24	16	114	4	128
