newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,((*,*),(*,(*,((*,*),(*,(*,*)))))));	24	46	88	72	3	8
(*,((*,*),(*,((*,*),(*,(*,(*,*)))))));	23	45	84	81	3	8
(*,((*,*),(*,((*,*),((*,*),(*,*))))));	20	44	82	84	4	32
(*,((*,*),(*,((*,(*,*)),(*,(*,*))))));	20	44	81	90	3	16
(*,((*,*),((*,*),(*,(*,(*,(*,*)))))));	22	44	79	93	3	8
(*,((*,*),((*,*),(*,((*,*),(*,*))))));	19	43	77	96	4	32
(*,((*,*),((*,*),((*,*),(*,(*,*))))));	18	42	74	102	4	16
(*,((*,*),((*,(*,*)),(*,(*,(*,*))))));	18	42	72	117	3	8
(*,((*,*),((*,(*,*)),((*,*),(*,*)))));	15	41	70	120	4	32
(*,((*,(*,*)),(*,(*,(*,(*,(*,*)))))));	22	44	75	135	2	4
(*,((*,(*,*)),(*,(*,((*,*),(*,*))))));	19	43	73	138	3	16
(*,((*,(*,*)),(*,((*,*),(*,(*,*))))));	18	42	70	144	3	8
(*,((*,(*,*)),((*,*),(*,(*,(*,*))))));	17	41	66	153	3	8
(*,((*,(*,*)),((*,*),((*,*),(*,*)))));	14	40	64	156	4	32
(*,((*,(*,*)),((*,(*,*)),(*,(*,*)))));	14	40	63	162	3	16
(*,((*,(*,(*,*))),(*,(*,(*,(*,*))))));	18	42	66	180	2	4
(*,((*,(*,(*,*))),(*,((*,*),(*,*)))));	15	41	64	183	3	16
(*,((*,(*,(*,*))),((*,*),(*,(*,*)))));	14	40	61	189	3	8
(*,((*,(*,(*,(*,*)))),((*,*),(*,*))));	15	41	64	183	3	16
(*,((*,((*,*),(*,*))),((*,*),(*,*))));	12	40	62	186	4	64
(*,(((*,*),(*,*)),((*,*),(*,(*,*)))));	11	39	59	192	4	32
((*,*),(*,(*,(*,(*,(*,(*,(*,*))))))));	27	47	85	84	2	4
((*,*),(*,(*,(*,(*,((*,*),(*,*)))))));	24	46	83	87	3	16
((*,*),(*,(*,(*,((*,*),(*,(*,*)))))));	23	45	80	93	3	8
((*,*),(*,(*,((*,*),(*,(*,(*,*)))))));	22	44	76	102	3	8
((*,*),(*,(*,((*,*),((*,*),(*,*))))));	19	43	74	105	4	32
((*,*),(*,(*,((*,(*,*)),(*,(*,*))))));	19	43	73	111	3	16
((*,*),(*,((*,*),(*,(*,(*,(*,*)))))));	21	43	71	114	3	8
((*,*),(*,((*,*),(*,((*,*),(*,*))))));	18	42	69	117	4	32
((*,*),(*,((*,*),((*,*),(*,(*,*))))));	17	41	66	123	4	16
((*,*),(*,((*,(*,*)),(*,(*,(*,*))))));	17	41	64	138	3	8
((*,*),(*,((*,(*,*)),((*,*),(*,*)))));	14	40	62	141	4	32
((*,*),((*,*),(*,(*,(*,(*,(*,*)))))));	20	42	65	129	3	8
((*,*),((*,*),(*,(*,((*,*),(*,*))))));	17	41	63	132	4	32
((*,*),((*,*),(*,((*,*),(*,(*,*))))));	16	40	60	138	4	16
((*,*),((*,*),((*,*),(*,(*,(*,*))))));	15	39	56	147	4	16
((*,*),((*,*),((*,*),((*,*),(*,*)))));	12	38	54	150	5	64
((*,*),((*,*),((*,(*,*)),(*,(*,*)))));	12	38	53	156	4	32
((*,*),((*,(*,*)),(*,(*,(*,(*,*))))));	15	39	53	174	3	8
((*,*),((*,(*,*)),(*,((*,*),(*,*)))));	12	38	51	177	4	32
((*,*),((*,(*,*)),((*,*),(*,(*,*)))));	11	37	48	183	4	16
((*,*),((*,(*,(*,*))),(*,(*,(*,*)))));	12	38	49	192	3	16
((*,*),((*,(*,(*,*))),((*,*),(*,*))));	9	37	47	195	4	32
((*,*),(((*,*),(*,*)),((*,*),(*,*))));	6	36	45	198	5	256
((*,(*,*)),(*,(*,(*,(*,(*,(*,*)))))));	20	42	60	189	2	4
((*,(*,*)),(*,(*,(*,((*,*),(*,*))))));	17	41	58	192	3	16
((*,(*,*)),(*,(*,((*,*),(*,(*,*))))));	16	40	55	198	3	8
((*,(*,*)),(*,((*,*),(*,(*,(*,*))))));	15	39	51	207	3	8
((*,(*,*)),(*,((*,*),((*,*),(*,*)))));	12	38	49	210	4	32
((*,(*,*)),(*,((*,(*,*)),(*,(*,*)))));	12	38	48	216	3	16
((*,(*,*)),((*,*),(*,(*,(*,(*,*))))));	14	38	46	219	3	8
((*,(*,*)),((*,*),(*,((*,*),(*,*)))));	11	37	44	222	4	32
((*,(*,*)),((*,*),((*,*),(*,(*,*)))));	10	36	41	228	4	16
((*,(*,*)),((*,(*,*)),(*,(*,(*,*)))));	10	36	39	243	3	8
((*,(*,*)),((*,(*,*)),((*,*),(*,*))));	7	35	37	246	4	32
((*,(*,(*,*))),(*,(*,(*,(*,(*,*))))));	15	39	45	270	2	4
((*,(*,(*,*))),(*,(*,((*,*),(*,*)))));	12	38	43	273	3	16
((*,(*,(*,*))),(*,((*,*),(*,(*,*)))));	11	37	40	279	3	8
((*,(*,(*,*))),((*,*),(*,(*,(*,*)))));	10	36	36	288	3	8
((*,(*,(*,*))),((*,*),((*,*),(*,*))));	7	35	34	291	4	32
((*,(*,(*,*))),((*,(*,*)),(*,(*,*))));	7	35	33	297	3	16
((*,(*,(*,(*,*)))),(*,(*,(*,(*,*)))));	12	38	40	300	2	8
((*,(*,(*,(*,*)))),(*,((*,*),(*,*))));	9	37	38	303	3	16
((*,(*,(*,(*,*)))),((*,*),(*,(*,*))));	8	36	35	309	3	8
((*,(*,(*,(*,(*,*))))),((*,*),(*,*)));	12	38	43	273	3	16
((*,(*,((*,*),(*,*)))),((*,*),(*,*)));	9	37	41	276	4	64
((*,((*,*),(*,*))),(*,((*,*),(*,*))));	6	36	36	306	4	128
((*,((*,*),(*,*))),((*,*),(*,(*,*))));	5	35	33	312	4	32
((*,((*,*),(*,(*,*)))),((*,*),(*,*)));	8	36	38	282	4	32
(((*,*),(*,*)),((*,*),(*,(*,(*,*)))));	7	35	34	291	4	32
(((*,*),(*,*)),((*,*),((*,*),(*,*))));	4	34	32	294	5	128
(((*,*),(*,*)),((*,(*,*)),(*,(*,*))));	4	34	31	300	4	64
(((*,*),(*,(*,*))),((*,*),(*,(*,*))));	4	34	30	318	4	32
