newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,*)))))))));	36	54	120	0	1	2
(*,(*,(*,(*,(*,(*,((*,*),(*,*))))))));	33	53	118	3	2	8
(*,(*,(*,(*,(*,((*,*),(*,(*,*))))))));	32	52	115	9	2	4
(*,(*,(*,(*,((*,*),(*,(*,(*,*))))))));	31	51	111	18	2	4
(*,(*,(*,(*,((*,*),((*,*),(*,*)))))));	28	50	109	21	3	16
(*,(*,(*,(*,((*,(*,*)),(*,(*,*)))))));	28	50	108	27	2	8
(*,(*,(*,((*,*),(*,(*,(*,(*,*))))))));	30	50	106	30	2	4
(*,(*,(*,((*,*),(*,((*,*),(*,*)))))));	27	49	104	33	3	16
(*,(*,(*,((*,*),((*,*),(*,(*,*)))))));	26	48	101	39	3	8
(*,(*,(*,((*,(*,*)),(*,(*,(*,*)))))));	26	48	99	54	2	4
(*,(*,(*,((*,(*,*)),((*,*),(*,*))))));	23	47	97	57	3	16
(*,(*,((*,*),(*,(*,(*,(*,(*,*))))))));	29	49	100	45	2	4
(*,(*,((*,*),(*,(*,((*,*),(*,*)))))));	26	48	98	48	3	16
(*,(*,((*,*),(*,((*,*),(*,(*,*)))))));	25	47	95	54	3	8
(*,(*,((*,*),((*,*),(*,(*,(*,*)))))));	24	46	91	63	3	8
(*,(*,((*,*),((*,*),((*,*),(*,*))))));	21	45	89	66	4	32
(*,(*,((*,*),((*,(*,*)),(*,(*,*))))));	21	45	88	72	3	16
(*,(*,((*,(*,*)),(*,(*,(*,(*,*)))))));	24	46	88	90	2	4
(*,(*,((*,(*,*)),(*,((*,*),(*,*))))));	21	45	86	93	3	16
(*,(*,((*,(*,*)),((*,*),(*,(*,*))))));	20	44	83	99	3	8
(*,(*,((*,(*,(*,*))),(*,(*,(*,*))))));	21	45	84	108	2	8
(*,(*,((*,(*,(*,*))),((*,*),(*,*)))));	18	44	82	111	3	16
(*,(*,(((*,*),(*,*)),((*,*),(*,*)))));	15	43	80	114	4	128
(*,((*,*),(*,(*,(*,(*,(*,(*,*))))))));	28	48	93	63	2	4
(*,((*,*),(*,(*,(*,((*,*),(*,*)))))));	25	47	91	66	3	16
