newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,((*,*),((*,*),((*,*),((*,*),(*,*))))))));	42	74	220	150	5	64
(*,(*,(*,((*,*),((*,*),((*,(*,*)),(*,(*,*))))))));	42	74	219	156	4	32
(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,(*,*)))))))));	45	75	219	174	3	8
(*,(*,(*,((*,*),((*,(*,*)),(*,((*,*),(*,*))))))));	42	74	217	177	4	32
(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,(*,*))))))));	41	73	214	183	4	16
(*,(*,(*,((*,*),((*,(*,(*,*))),(*,(*,(*,*))))))));	42	74	215	192	3	16
(*,(*,(*,((*,*),((*,(*,(*,*))),((*,*),(*,*)))))));	39	73	213	195	4	32
(*,(*,(*,((*,*),(((*,*),(*,*)),((*,*),(*,*)))))));	36	72	211	198	5	256
(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,*))))))))));	50	78	226	189	2	4
(*,(*,(*,((*,(*,*)),(*,(*,(*,((*,*),(*,*)))))))));	47	77	224	192	3	16
(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,(*,*)))))))));	46	76	221	198	3	8
(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,(*,*)))))))));	45	75	217	207	3	8
(*,(*,(*,((*,(*,*)),(*,((*,*),((*,*),(*,*))))))));	42	74	215	210	4	32
(*,(*,(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,*))))))));	42	74	214	216	3	16
(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,(*,*)))))))));	44	74	212	219	3	8
(*,(*,(*,((*,(*,*)),((*,*),(*,((*,*),(*,*))))))));	41	73	210	222	4	32
(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,(*,*))))))));	40	72	207	228	4	16
(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,*))))))));	40	72	205	243	3	8
(*,(*,(*,((*,(*,*)),((*,(*,*)),((*,*),(*,*)))))));	37	71	203	246	4	32
(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,*)))))))));	45	75	211	270	2	4
(*,(*,(*,((*,(*,(*,*))),(*,(*,((*,*),(*,*))))))));	42	74	209	273	3	16
(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,(*,*))))))));	41	73	206	279	3	8
(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,(*,*))))))));	40	72	202	288	3	8
(*,(*,(*,((*,(*,(*,*))),((*,*),((*,*),(*,*)))))));	37	71	200	291	4	32
(*,(*,(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,*)))))));	37	71	199	297	3	16
(*,(*,(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,*))))))));	42	74	206	300	2	8
(*,(*,(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,*)))))));	39	73	204	303	3	16
(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,*)))))));	38	72	201	309	3	8
(*,(*,(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,*))))));	42	74	209	273	3	16
(*,(*,(*,((*,(*,((*,*),(*,*)))),((*,*),(*,*))))));	39	73	207	276	4	64
(*,(*,(*,((*,((*,*),(*,*))),(*,((*,*),(*,*)))))));	36	72	202	306	4	128
(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,(*,*)))))));	35	71	199	312	4	32
(*,(*,(*,((*,((*,*),(*,(*,*)))),((*,*),(*,*))))));	38	72	204	282	4	32
(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,(*,*))))))));	37	71	200	291	4	32
(*,(*,(*,(((*,*),(*,*)),((*,*),((*,*),(*,*)))))));	34	70	198	294	5	128
(*,(*,(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,*)))))));	34	70	197	300	4	64
(*,(*,(*,(((*,*),(*,(*,*))),((*,*),(*,(*,*)))))));	34	70	196	318	4	32
(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,(*,*)))))))))));	56	82	242	108	2	4
(*,(*,((*,*),(*,(*,(*,(*,(*,((*,*),(*,*))))))))));	53	81	240	111	3	16
(*,(*,((*,*),(*,(*,(*,(*,((*,*),(*,(*,*))))))))));	52	80	237	117	3	8
(*,(*,((*,*),(*,(*,(*,((*,*),(*,(*,(*,*))))))))));	51	79	233	126	3	8
(*,(*,((*,*),(*,(*,(*,((*,*),((*,*),(*,*)))))))));	48	78	231	129	4	32
(*,(*,((*,*),(*,(*,(*,((*,(*,*)),(*,(*,*)))))))));	48	78	230	135	3	16
(*,(*,((*,*),(*,(*,((*,*),(*,(*,(*,(*,*))))))))));	50	78	228	138	3	8
(*,(*,((*,*),(*,(*,((*,*),(*,((*,*),(*,*)))))))));	47	77	226	141	4	32
(*,(*,((*,*),(*,(*,((*,*),((*,*),(*,(*,*)))))))));	46	76	223	147	4	16
(*,(*,((*,*),(*,(*,((*,(*,*)),(*,(*,(*,*)))))))));	46	76	221	162	3	8
(*,(*,((*,*),(*,(*,((*,(*,*)),((*,*),(*,*))))))));	43	75	219	165	4	32
(*,(*,((*,*),(*,((*,*),(*,(*,(*,(*,(*,*))))))))));	49	77	222	153	3	8
(*,(*,((*,*),(*,((*,*),(*,(*,((*,*),(*,*)))))))));	46	76	220	156	4	32
(*,(*,((*,*),(*,((*,*),(*,((*,*),(*,(*,*)))))))));	45	75	217	162	4	16
(*,(*,((*,*),(*,((*,*),((*,*),(*,(*,(*,*)))))))));	44	74	213	171	4	16
(*,(*,((*,*),(*,((*,*),((*,*),((*,*),(*,*))))))));	41	73	211	174	5	64
(*,(*,((*,*),(*,((*,*),((*,(*,*)),(*,(*,*))))))));	41	73	210	180	4	32
(*,(*,((*,*),(*,((*,(*,*)),(*,(*,(*,(*,*)))))))));	44	74	210	198	3	8
(*,(*,((*,*),(*,((*,(*,*)),(*,((*,*),(*,*))))))));	41	73	208	201	4	32
(*,(*,((*,*),(*,((*,(*,*)),((*,*),(*,(*,*))))))));	40	72	205	207	4	16
(*,(*,((*,*),(*,((*,(*,(*,*))),(*,(*,(*,*))))))));	41	73	206	216	3	16
(*,(*,((*,*),(*,((*,(*,(*,*))),((*,*),(*,*)))))));	38	72	204	219	4	32
(*,(*,((*,*),(*,(((*,*),(*,*)),((*,*),(*,*)))))));	35	71	202	222	5	256
(*,(*,((*,*),((*,*),(*,(*,(*,(*,(*,(*,*))))))))));	48	76	215	171	3	8
(*,(*,((*,*),((*,*),(*,(*,(*,((*,*),(*,*)))))))));	45	75	213	174	4	32
(*,(*,((*,*),((*,*),(*,(*,((*,*),(*,(*,*)))))))));	44	74	210	180	4	16
(*,(*,((*,*),((*,*),(*,((*,*),(*,(*,(*,*)))))))));	43	73	206	189	4	16
(*,(*,((*,*),((*,*),(*,((*,*),((*,*),(*,*))))))));	40	72	204	192	5	64
(*,(*,((*,*),((*,*),(*,((*,(*,*)),(*,(*,*))))))));	40	72	203	198	4	32
(*,(*,((*,*),((*,*),((*,*),(*,(*,(*,(*,*)))))))));	42	72	201	201	4	16
(*,(*,((*,*),((*,*),((*,*),(*,((*,*),(*,*))))))));	39	71	199	204	5	64
(*,(*,((*,*),((*,*),((*,*),((*,*),(*,(*,*))))))));	38	70	196	210	5	32
(*,(*,((*,*),((*,*),((*,(*,*)),(*,(*,(*,*))))))));	38	70	194	225	4	16
(*,(*,((*,*),((*,*),((*,(*,*)),((*,*),(*,*)))))));	35	69	192	228	5	64
(*,(*,((*,*),((*,(*,*)),(*,(*,(*,(*,(*,*)))))))));	42	72	197	243	3	8
(*,(*,((*,*),((*,(*,*)),(*,(*,((*,*),(*,*))))))));	39	71	195	246	4	32
(*,(*,((*,*),((*,(*,*)),(*,((*,*),(*,(*,*))))))));	38	70	192	252	4	16
(*,(*,((*,*),((*,(*,*)),((*,*),(*,(*,(*,*))))))));	37	69	188	261	4	16
(*,(*,((*,*),((*,(*,*)),((*,*),((*,*),(*,*)))))));	34	68	186	264	5	64
(*,(*,((*,*),((*,(*,*)),((*,(*,*)),(*,(*,*)))))));	34	68	185	270	4	32
(*,(*,((*,*),((*,(*,(*,*))),(*,(*,(*,(*,*))))))));	38	70	188	288	3	8
(*,(*,((*,*),((*,(*,(*,*))),(*,((*,*),(*,*)))))));	35	69	186	291	4	32
(*,(*,((*,*),((*,(*,(*,*))),((*,*),(*,(*,*)))))));	34	68	183	297	4	16
(*,(*,((*,*),((*,(*,(*,(*,*)))),((*,*),(*,*))))));	35	69	186	291	4	32
(*,(*,((*,*),((*,((*,*),(*,*))),((*,*),(*,*))))));	32	68	184	294	5	128
(*,(*,((*,*),(((*,*),(*,*)),((*,*),(*,(*,*)))))));	31	67	181	300	5	64
(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,(*,*))))))))));	48	76	209	252	2	4
(*,(*,((*,(*,*)),(*,(*,(*,(*,((*,*),(*,*)))))))));	45	75	207	255	3	16
(*,(*,((*,(*,*)),(*,(*,(*,((*,*),(*,(*,*)))))))));	44	74	204	261	3	8
(*,(*,((*,(*,*)),(*,(*,((*,*),(*,(*,(*,*)))))))));	43	73	200	270	3	8
(*,(*,((*,(*,*)),(*,(*,((*,*),((*,*),(*,*))))))));	40	72	198	273	4	32
(*,(*,((*,(*,*)),(*,(*,((*,(*,*)),(*,(*,*))))))));	40	72	197	279	3	16
(*,(*,((*,(*,*)),(*,((*,*),(*,(*,(*,(*,*)))))))));	42	72	195	282	3	8
(*,(*,((*,(*,*)),(*,((*,*),(*,((*,*),(*,*))))))));	39	71	193	285	4	32
(*,(*,((*,(*,*)),(*,((*,*),((*,*),(*,(*,*))))))));	38	70	190	291	4	16
(*,(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,(*,*))))))));	38	70	188	306	3	8
(*,(*,((*,(*,*)),(*,((*,(*,*)),((*,*),(*,*)))))));	35	69	186	309	4	32
(*,(*,((*,(*,*)),((*,*),(*,(*,(*,(*,(*,*)))))))));	41	71	189	297	3	8
(*,(*,((*,(*,*)),((*,*),(*,(*,((*,*),(*,*))))))));	38	70	187	300	4	32
(*,(*,((*,(*,*)),((*,*),(*,((*,*),(*,(*,*))))))));	37	69	184	306	4	16
(*,(*,((*,(*,*)),((*,*),((*,*),(*,(*,(*,*))))))));	36	68	180	315	4	16
(*,(*,((*,(*,*)),((*,*),((*,*),((*,*),(*,*)))))));	33	67	178	318	5	64
(*,(*,((*,(*,*)),((*,*),((*,(*,*)),(*,(*,*)))))));	33	67	177	324	4	32
(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,(*,*))))))));	36	68	177	342	3	8
(*,(*,((*,(*,*)),((*,(*,*)),(*,((*,*),(*,*)))))));	33	67	175	345	4	32
(*,(*,((*,(*,*)),((*,(*,*)),((*,*),(*,(*,*)))))));	32	66	172	351	4	16
(*,(*,((*,(*,*)),((*,(*,(*,*))),(*,(*,(*,*)))))));	33	67	173	360	3	16
(*,(*,((*,(*,*)),((*,(*,(*,*))),((*,*),(*,*))))));	30	66	171	363	4	32
(*,(*,((*,(*,*)),(((*,*),(*,*)),((*,*),(*,*))))));	27	65	169	366	5	256
(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,(*,*)))))))));	42	72	187	378	2	4
(*,(*,((*,(*,(*,*))),(*,(*,(*,((*,*),(*,*))))))));	39	71	185	381	3	16
(*,(*,((*,(*,(*,*))),(*,(*,((*,*),(*,(*,*))))))));	38	70	182	387	3	8
(*,(*,((*,(*,(*,*))),(*,((*,*),(*,(*,(*,*))))))));	37	69	178	396	3	8
(*,(*,((*,(*,(*,*))),(*,((*,*),((*,*),(*,*)))))));	34	68	176	399	4	32
(*,(*,((*,(*,(*,*))),(*,((*,(*,*)),(*,(*,*)))))));	34	68	175	405	3	16
(*,(*,((*,(*,(*,*))),((*,*),(*,(*,(*,(*,*))))))));	36	68	173	408	3	8
(*,(*,((*,(*,(*,*))),((*,*),(*,((*,*),(*,*)))))));	33	67	171	411	4	32
(*,(*,((*,(*,(*,*))),((*,*),((*,*),(*,(*,*)))))));	32	66	168	417	4	16
(*,(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,(*,*)))))));	32	66	166	432	3	8
(*,(*,((*,(*,(*,*))),((*,(*,*)),((*,*),(*,*))))));	29	65	164	435	4	32
(*,(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,(*,*))))))));	38	70	176	450	2	4
(*,(*,((*,(*,(*,(*,*)))),(*,(*,((*,*),(*,*)))))));	35	69	174	453	3	16
(*,(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,(*,*)))))));	34	68	171	459	3	8
(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,(*,*)))))));	33	67	167	468	3	8
(*,(*,((*,(*,(*,(*,*)))),((*,*),((*,*),(*,*))))));	30	66	165	471	4	32
(*,(*,((*,(*,(*,(*,*)))),((*,(*,*)),(*,(*,*))))));	30	66	164	477	3	16
(*,(*,((*,(*,(*,(*,(*,*))))),(*,((*,*),(*,*))))));	35	69	174	453	3	16
(*,(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,(*,*))))));	34	68	171	459	3	8
(*,(*,((*,(*,(*,(*,(*,(*,*)))))),((*,*),(*,*)))));	39	71	185	381	3	16
(*,(*,((*,(*,(*,((*,*),(*,*))))),((*,*),(*,*)))));	36	70	183	384	4	64
(*,(*,((*,(*,((*,*),(*,*)))),(*,((*,*),(*,*))))));	32	68	172	456	4	64
(*,(*,((*,(*,((*,*),(*,*)))),((*,*),(*,(*,*))))));	31	67	169	462	4	32
(*,(*,((*,(*,((*,*),(*,(*,*))))),((*,*),(*,*)))));	35	69	180	390	4	32
(*,(*,((*,((*,*),(*,*))),(*,((*,*),(*,(*,*)))))));	31	67	169	462	4	32
(*,(*,((*,((*,*),(*,*))),((*,*),(*,(*,(*,*)))))));	30	66	165	471	4	32
(*,(*,((*,((*,*),(*,*))),((*,*),((*,*),(*,*))))));	27	65	163	474	5	128
(*,(*,((*,((*,*),(*,*))),((*,(*,*)),(*,(*,*))))));	27	65	162	480	4	64
(*,(*,((*,((*,*),(*,(*,*)))),((*,*),(*,(*,*))))));	30	66	166	468	4	16
(*,(*,((*,((*,*),(*,(*,(*,*))))),((*,*),(*,*)))));	34	68	176	399	4	32
(*,(*,((*,((*,*),((*,*),(*,*)))),((*,*),(*,*)))));	31	67	174	402	5	128
(*,(*,((*,((*,(*,*)),(*,(*,*)))),((*,*),(*,*)))));	31	67	173	408	4	64
(*,(*,(((*,*),(*,*)),((*,*),(*,(*,(*,(*,*))))))));	33	67	171	411	4	32
(*,(*,(((*,*),(*,*)),((*,*),(*,((*,*),(*,*)))))));	30	66	169	414	5	128
(*,(*,(((*,*),(*,*)),((*,*),((*,*),(*,(*,*)))))));	29	65	166	420	5	64
(*,(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,(*,*)))))));	29	65	164	435	4	32
(*,(*,(((*,*),(*,*)),((*,(*,*)),((*,*),(*,*))))));	26	64	162	438	5	128
(*,(*,(((*,*),(*,(*,*))),((*,*),(*,(*,(*,*)))))));	29	65	162	477	4	16
(*,(*,(((*,*),(*,(*,*))),((*,*),((*,*),(*,*))))));	26	64	160	480	5	64
(*,(*,(((*,*),(*,(*,*))),((*,(*,*)),(*,(*,*))))));	26	64	159	486	4	32
(*,((*,*),(*,(*,(*,(*,(*,(*,(*,(*,(*,*)))))))))));	55	81	232	135	2	4
(*,((*,*),(*,(*,(*,(*,(*,(*,((*,*),(*,*))))))))));	52	80	230	138	3	16
(*,((*,*),(*,(*,(*,(*,(*,((*,*),(*,(*,*))))))))));	51	79	227	144	3	8
(*,((*,*),(*,(*,(*,(*,((*,*),(*,(*,(*,*))))))))));	50	78	223	153	3	8
(*,((*,*),(*,(*,(*,(*,((*,*),((*,*),(*,*)))))))));	47	77	221	156	4	32
(*,((*,*),(*,(*,(*,(*,((*,(*,*)),(*,(*,*)))))))));	47	77	220	162	3	16
(*,((*,*),(*,(*,(*,((*,*),(*,(*,(*,(*,*))))))))));	49	77	218	165	3	8
(*,((*,*),(*,(*,(*,((*,*),(*,((*,*),(*,*)))))))));	46	76	216	168	4	32
(*,((*,*),(*,(*,(*,((*,*),((*,*),(*,(*,*)))))))));	45	75	213	174	4	16
(*,((*,*),(*,(*,(*,((*,(*,*)),(*,(*,(*,*)))))))));	45	75	211	189	3	8
(*,((*,*),(*,(*,(*,((*,(*,*)),((*,*),(*,*))))))));	42	74	209	192	4	32
(*,((*,*),(*,(*,((*,*),(*,(*,(*,(*,(*,*))))))))));	48	76	212	180	3	8
(*,((*,*),(*,(*,((*,*),(*,(*,((*,*),(*,*)))))))));	45	75	210	183	4	32
(*,((*,*),(*,(*,((*,*),(*,((*,*),(*,(*,*)))))))));	44	74	207	189	4	16
(*,((*,*),(*,(*,((*,*),((*,*),(*,(*,(*,*)))))))));	43	73	203	198	4	16
(*,((*,*),(*,(*,((*,*),((*,*),((*,*),(*,*))))))));	40	72	201	201	5	64
(*,((*,*),(*,(*,((*,*),((*,(*,*)),(*,(*,*))))))));	40	72	200	207	4	32
(*,((*,*),(*,(*,((*,(*,*)),(*,(*,(*,(*,*)))))))));	43	73	200	225	3	8
(*,((*,*),(*,(*,((*,(*,*)),(*,((*,*),(*,*))))))));	40	72	198	228	4	32
(*,((*,*),(*,(*,((*,(*,*)),((*,*),(*,(*,*))))))));	39	71	195	234	4	16
(*,((*,*),(*,(*,((*,(*,(*,*))),(*,(*,(*,*))))))));	40	72	196	243	3	16
(*,((*,*),(*,(*,((*,(*,(*,*))),((*,*),(*,*)))))));	37	71	194	246	4	32
(*,((*,*),(*,(*,(((*,*),(*,*)),((*,*),(*,*)))))));	34	70	192	249	5	256
(*,((*,*),(*,((*,*),(*,(*,(*,(*,(*,(*,*))))))))));	47	75	205	198	3	8
(*,((*,*),(*,((*,*),(*,(*,(*,((*,*),(*,*)))))))));	44	74	203	201	4	32
(*,((*,*),(*,((*,*),(*,(*,((*,*),(*,(*,*)))))))));	43	73	200	207	4	16
(*,((*,*),(*,((*,*),(*,((*,*),(*,(*,(*,*)))))))));	42	72	196	216	4	16
(*,((*,*),(*,((*,*),(*,((*,*),((*,*),(*,*))))))));	39	71	194	219	5	64
(*,((*,*),(*,((*,*),(*,((*,(*,*)),(*,(*,*))))))));	39	71	193	225	4	32
(*,((*,*),(*,((*,*),((*,*),(*,(*,(*,(*,*)))))))));	41	71	191	228	4	16
(*,((*,*),(*,((*,*),((*,*),(*,((*,*),(*,*))))))));	38	70	189	231	5	64
(*,((*,*),(*,((*,*),((*,*),((*,*),(*,(*,*))))))));	37	69	186	237	5	32
(*,((*,*),(*,((*,*),((*,(*,*)),(*,(*,(*,*))))))));	37	69	184	252	4	16
(*,((*,*),(*,((*,*),((*,(*,*)),((*,*),(*,*)))))));	34	68	182	255	5	64
(*,((*,*),(*,((*,(*,*)),(*,(*,(*,(*,(*,*)))))))));	41	71	187	270	3	8
(*,((*,*),(*,((*,(*,*)),(*,(*,((*,*),(*,*))))))));	38	70	185	273	4	32
(*,((*,*),(*,((*,(*,*)),(*,((*,*),(*,(*,*))))))));	37	69	182	279	4	16
(*,((*,*),(*,((*,(*,*)),((*,*),(*,(*,(*,*))))))));	36	68	178	288	4	16
(*,((*,*),(*,((*,(*,*)),((*,*),((*,*),(*,*)))))));	33	67	176	291	5	64
(*,((*,*),(*,((*,(*,*)),((*,(*,*)),(*,(*,*)))))));	33	67	175	297	4	32
(*,((*,*),(*,((*,(*,(*,*))),(*,(*,(*,(*,*))))))));	37	69	178	315	3	8
(*,((*,*),(*,((*,(*,(*,*))),(*,((*,*),(*,*)))))));	34	68	176	318	4	32
(*,((*,*),(*,((*,(*,(*,*))),((*,*),(*,(*,*)))))));	33	67	173	324	4	16
(*,((*,*),(*,((*,(*,(*,(*,*)))),((*,*),(*,*))))));	34	68	176	318	4	32
(*,((*,*),(*,((*,((*,*),(*,*))),((*,*),(*,*))))));	31	67	174	321	5	128
(*,((*,*),(*,(((*,*),(*,*)),((*,*),(*,(*,*)))))));	30	66	171	327	5	64
(*,((*,*),((*,*),(*,(*,(*,(*,(*,(*,(*,*))))))))));	46	74	197	219	3	8
(*,((*,*),((*,*),(*,(*,(*,(*,((*,*),(*,*)))))))));	43	73	195	222	4	32
(*,((*,*),((*,*),(*,(*,(*,((*,*),(*,(*,*)))))))));	42	72	192	228	4	16
(*,((*,*),((*,*),(*,(*,((*,*),(*,(*,(*,*)))))))));	41	71	188	237	4	16
(*,((*,*),((*,*),(*,(*,((*,*),((*,*),(*,*))))))));	38	70	186	240	5	64
(*,((*,*),((*,*),(*,(*,((*,(*,*)),(*,(*,*))))))));	38	70	185	246	4	32
(*,((*,*),((*,*),(*,((*,*),(*,(*,(*,(*,*)))))))));	40	70	183	249	4	16
(*,((*,*),((*,*),(*,((*,*),(*,((*,*),(*,*))))))));	37	69	181	252	5	64
(*,((*,*),((*,*),(*,((*,*),((*,*),(*,(*,*))))))));	36	68	178	258	5	32
(*,((*,*),((*,*),(*,((*,(*,*)),(*,(*,(*,*))))))));	36	68	176	273	4	16
(*,((*,*),((*,*),(*,((*,(*,*)),((*,*),(*,*)))))));	33	67	174	276	5	64
