newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,*))))))))))));	66	90	286	0	1	2
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,*)))))))))));	63	89	284	3	2	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,*)))))))))));	62	88	281	9	2	4
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,*)))))))))));	61	87	277	18	2	4
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,*))))))))));	58	86	275	21	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,*))))))))));	58	86	274	27	2	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,*)))))))))));	60	86	272	30	2	4
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,*))))))))));	57	85	270	33	3	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,*))))))))));	56	84	267	39	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,*))))))))));	56	84	265	54	2	4
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,*)))))))));	53	83	263	57	3	16
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,*)))))))))));	59	85	266	45	2	4
(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,*))))))))));	56	84	264	48	3	16
(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,*))))))))));	55	83	261	54	3	8
(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,*))))))))));	54	82	257	63	3	8
(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,*)))))))));	51	81	255	66	4	32
(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,*)))))))));	51	81	254	72	3	16
(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,*))))))))));	54	82	254	90	2	4
(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,*)))))))));	51	81	252	93	3	16
(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,*)))))))));	50	80	249	99	3	8
(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,*)))))))));	51	81	250	108	2	8
(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,*))))))));	48	80	248	111	3	16
(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,*))))))));	45	79	246	114	4	128
(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,*)))))))))));	58	84	259	63	2	4
(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,*))))))))));	55	83	257	66	3	16
(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,*))))))))));	54	82	254	72	3	8
(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,*))))))))));	53	81	250	81	3	8
(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,*)))))))));	50	80	248	84	4	32
(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,*)))))))));	50	80	247	90	3	16
(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,*))))))))));	52	80	245	93	3	8
(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,*)))))))));	49	79	243	96	4	32
(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,*)))))))));	48	78	240	102	4	16
(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,*)))))))));	48	78	238	117	3	8
(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,*))))))));	45	77	236	120	4	32
(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,*))))))))));	52	80	241	135	2	4
(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,*)))))))));	49	79	239	138	3	16
(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,*)))))))));	48	78	236	144	3	8
(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,*)))))))));	47	77	232	153	3	8
(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,*))))))));	44	76	230	156	4	32
(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,*))))))));	44	76	229	162	3	16
(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,*)))))))));	48	78	232	180	2	4
(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,*))))))));	45	77	230	183	3	16
(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,(*,*))))))));	44	76	227	189	3	8
(*,(*,(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,*)))))));	45	77	230	183	3	16
(*,(*,(*,(*,((*,((*,*),(*,*))),((*,*),(*,*)))))));	42	76	228	186	4	64
(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,(*,*))))))));	41	75	225	192	4	32
(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,(*,*)))))))))));	57	83	251	84	2	4
(*,(*,(*,((*,*),(*,(*,(*,(*,((*,*),(*,*))))))))));	54	82	249	87	3	16
(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,(*,*))))))))));	53	81	246	93	3	8
(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,(*,*))))))))));	52	80	242	102	3	8
(*,(*,(*,((*,*),(*,(*,((*,*),((*,*),(*,*)))))))));	49	79	240	105	4	32
(*,(*,(*,((*,*),(*,(*,((*,(*,*)),(*,(*,*)))))))));	49	79	239	111	3	16
(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,(*,*))))))))));	51	79	237	114	3	8
(*,(*,(*,((*,*),(*,((*,*),(*,((*,*),(*,*)))))))));	48	78	235	117	4	32
(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,(*,*)))))))));	47	77	232	123	4	16
(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,(*,*)))))))));	47	77	230	138	3	8
(*,(*,(*,((*,*),(*,((*,(*,*)),((*,*),(*,*))))))));	44	76	228	141	4	32
(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,(*,*))))))))));	50	78	231	129	3	8
(*,(*,(*,((*,*),((*,*),(*,(*,((*,*),(*,*)))))))));	47	77	229	132	4	32
(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,(*,*)))))))));	46	76	226	138	4	16
(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,(*,*)))))))));	45	75	222	147	4	16
