newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,*))))))))));	45	65	165	0	1	2
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,*)))))))));	42	64	163	3	2	8
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,*)))))))));	41	63	160	9	2	4
(*,(*,(*,(*,(*,((*,*),(*,(*,(*,*)))))))));	40	62	156	18	2	4
(*,(*,(*,(*,(*,((*,*),((*,*),(*,*))))))));	37	61	154	21	3	16
(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,*))))))));	37	61	153	27	2	8
(*,(*,(*,(*,((*,*),(*,(*,(*,(*,*)))))))));	39	61	151	30	2	4
(*,(*,(*,(*,((*,*),(*,((*,*),(*,*))))))));	36	60	149	33	3	16
(*,(*,(*,(*,((*,*),((*,*),(*,(*,*))))))));	35	59	146	39	3	8
(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,*))))))));	35	59	144	54	2	4
(*,(*,(*,(*,((*,(*,*)),((*,*),(*,*)))))));	32	58	142	57	3	16
(*,(*,(*,((*,*),(*,(*,(*,(*,(*,*)))))))));	38	60	145	45	2	4
(*,(*,(*,((*,*),(*,(*,((*,*),(*,*))))))));	35	59	143	48	3	16
(*,(*,(*,((*,*),(*,((*,*),(*,(*,*))))))));	34	58	140	54	3	8
(*,(*,(*,((*,*),((*,*),(*,(*,(*,*))))))));	33	57	136	63	3	8
(*,(*,(*,((*,*),((*,*),((*,*),(*,*)))))));	30	56	134	66	4	32
(*,(*,(*,((*,*),((*,(*,*)),(*,(*,*)))))));	30	56	133	72	3	16
(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,*))))))));	33	57	133	90	2	4
(*,(*,(*,((*,(*,*)),(*,((*,*),(*,*)))))));	30	56	131	93	3	16
(*,(*,(*,((*,(*,*)),((*,*),(*,(*,*)))))));	29	55	128	99	3	8
(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,*)))))));	30	56	129	108	2	8
(*,(*,(*,((*,(*,(*,*))),((*,*),(*,*))))));	27	55	127	111	3	16
(*,(*,(*,(((*,*),(*,*)),((*,*),(*,*))))));	24	54	125	114	4	128
(*,(*,((*,*),(*,(*,(*,(*,(*,(*,*)))))))));	37	59	138	63	2	4
(*,(*,((*,*),(*,(*,(*,((*,*),(*,*))))))));	34	58	136	66	3	16
(*,(*,((*,*),(*,(*,((*,*),(*,(*,*))))))));	33	57	133	72	3	8
(*,(*,((*,*),(*,((*,*),(*,(*,(*,*))))))));	32	56	129	81	3	8
(*,(*,((*,*),(*,((*,*),((*,*),(*,*)))))));	29	55	127	84	4	32
(*,(*,((*,*),(*,((*,(*,*)),(*,(*,*)))))));	29	55	126	90	3	16
(*,(*,((*,*),((*,*),(*,(*,(*,(*,*))))))));	31	55	124	93	3	8
(*,(*,((*,*),((*,*),(*,((*,*),(*,*)))))));	28	54	122	96	4	32
(*,(*,((*,*),((*,*),((*,*),(*,(*,*)))))));	27	53	119	102	4	16
(*,(*,((*,*),((*,(*,*)),(*,(*,(*,*)))))));	27	53	117	117	3	8
(*,(*,((*,*),((*,(*,*)),((*,*),(*,*))))));	24	52	115	120	4	32
(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,*))))))));	31	55	120	135	2	4
(*,(*,((*,(*,*)),(*,(*,((*,*),(*,*)))))));	28	54	118	138	3	16
(*,(*,((*,(*,*)),(*,((*,*),(*,(*,*)))))));	27	53	115	144	3	8
(*,(*,((*,(*,*)),((*,*),(*,(*,(*,*)))))));	26	52	111	153	3	8
(*,(*,((*,(*,*)),((*,*),((*,*),(*,*))))));	23	51	109	156	4	32
(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,*))))));	23	51	108	162	3	16
(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,*)))))));	27	53	111	180	2	4
(*,(*,((*,(*,(*,*))),(*,((*,*),(*,*))))));	24	52	109	183	3	16
(*,(*,((*,(*,(*,*))),((*,*),(*,(*,*))))));	23	51	106	189	3	8
(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,*)))));	24	52	109	183	3	16
(*,(*,((*,((*,*),(*,*))),((*,*),(*,*)))));	21	51	107	186	4	64
(*,(*,(((*,*),(*,*)),((*,*),(*,(*,*))))));	20	50	104	192	4	32
(*,((*,*),(*,(*,(*,(*,(*,(*,(*,*)))))))));	36	58	130	84	2	4
(*,((*,*),(*,(*,(*,(*,((*,*),(*,*))))))));	33	57	128	87	3	16
(*,((*,*),(*,(*,(*,((*,*),(*,(*,*))))))));	32	56	125	93	3	8
(*,((*,*),(*,(*,((*,*),(*,(*,(*,*))))))));	31	55	121	102	3	8
(*,((*,*),(*,(*,((*,*),((*,*),(*,*)))))));	28	54	119	105	4	32
(*,((*,*),(*,(*,((*,(*,*)),(*,(*,*)))))));	28	54	118	111	3	16
(*,((*,*),(*,((*,*),(*,(*,(*,(*,*))))))));	30	54	116	114	3	8
(*,((*,*),(*,((*,*),(*,((*,*),(*,*)))))));	27	53	114	117	4	32
(*,((*,*),(*,((*,*),((*,*),(*,(*,*)))))));	26	52	111	123	4	16
(*,((*,*),(*,((*,(*,*)),(*,(*,(*,*)))))));	26	52	109	138	3	8
(*,((*,*),(*,((*,(*,*)),((*,*),(*,*))))));	23	51	107	141	4	32
(*,((*,*),((*,*),(*,(*,(*,(*,(*,*))))))));	29	53	110	129	3	8
(*,((*,*),((*,*),(*,(*,((*,*),(*,*)))))));	26	52	108	132	4	32
(*,((*,*),((*,*),(*,((*,*),(*,(*,*)))))));	25	51	105	138	4	16
(*,((*,*),((*,*),((*,*),(*,(*,(*,*)))))));	24	50	101	147	4	16
(*,((*,*),((*,*),((*,*),((*,*),(*,*))))));	21	49	99	150	5	64
(*,((*,*),((*,*),((*,(*,*)),(*,(*,*))))));	21	49	98	156	4	32
(*,((*,*),((*,(*,*)),(*,(*,(*,(*,*)))))));	24	50	98	174	3	8
(*,((*,*),((*,(*,*)),(*,((*,*),(*,*))))));	21	49	96	177	4	32
(*,((*,*),((*,(*,*)),((*,*),(*,(*,*))))));	20	48	93	183	4	16
(*,((*,*),((*,(*,(*,*))),(*,(*,(*,*))))));	21	49	94	192	3	16
(*,((*,*),((*,(*,(*,*))),((*,*),(*,*)))));	18	48	92	195	4	32
(*,((*,*),(((*,*),(*,*)),((*,*),(*,*)))));	15	47	90	198	5	256
(*,((*,(*,*)),(*,(*,(*,(*,(*,(*,*))))))));	29	53	105	189	2	4
(*,((*,(*,*)),(*,(*,(*,((*,*),(*,*)))))));	26	52	103	192	3	16
(*,((*,(*,*)),(*,(*,((*,*),(*,(*,*)))))));	25	51	100	198	3	8
(*,((*,(*,*)),(*,((*,*),(*,(*,(*,*)))))));	24	50	96	207	3	8
