newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,((*,(*,*)),(*,((*,*),((*,*),(*,*))))));	21	49	94	210	4	32
(*,((*,(*,*)),(*,((*,(*,*)),(*,(*,*))))));	21	49	93	216	3	16
(*,((*,(*,*)),((*,*),(*,(*,(*,(*,*)))))));	23	49	91	219	3	8
(*,((*,(*,*)),((*,*),(*,((*,*),(*,*))))));	20	48	89	222	4	32
(*,((*,(*,*)),((*,*),((*,*),(*,(*,*))))));	19	47	86	228	4	16
(*,((*,(*,*)),((*,(*,*)),(*,(*,(*,*))))));	19	47	84	243	3	8
(*,((*,(*,*)),((*,(*,*)),((*,*),(*,*)))));	16	46	82	246	4	32
(*,((*,(*,(*,*))),(*,(*,(*,(*,(*,*)))))));	24	50	90	270	2	4
(*,((*,(*,(*,*))),(*,(*,((*,*),(*,*))))));	21	49	88	273	3	16
(*,((*,(*,(*,*))),(*,((*,*),(*,(*,*))))));	20	48	85	279	3	8
(*,((*,(*,(*,*))),((*,*),(*,(*,(*,*))))));	19	47	81	288	3	8
(*,((*,(*,(*,*))),((*,*),((*,*),(*,*)))));	16	46	79	291	4	32
(*,((*,(*,(*,*))),((*,(*,*)),(*,(*,*)))));	16	46	78	297	3	16
(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,*))))));	21	49	85	300	2	8
(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,*)))));	18	48	83	303	3	16
(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,*)))));	17	47	80	309	3	8
(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,*))));	21	49	88	273	3	16
(*,((*,(*,((*,*),(*,*)))),((*,*),(*,*))));	18	48	86	276	4	64
(*,((*,((*,*),(*,*))),(*,((*,*),(*,*)))));	15	47	81	306	4	128
(*,((*,((*,*),(*,*))),((*,*),(*,(*,*)))));	14	46	78	312	4	32
(*,((*,((*,*),(*,(*,*)))),((*,*),(*,*))));	17	47	83	282	4	32
(*,(((*,*),(*,*)),((*,*),(*,(*,(*,*))))));	16	46	79	291	4	32
(*,(((*,*),(*,*)),((*,*),((*,*),(*,*)))));	13	45	77	294	5	128
(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,*)))));	13	45	76	300	4	64
(*,(((*,*),(*,(*,*))),((*,*),(*,(*,*)))));	13	45	75	318	4	32
((*,*),(*,(*,(*,(*,(*,(*,(*,(*,*)))))))));	35	57	121	108	2	4
((*,*),(*,(*,(*,(*,(*,((*,*),(*,*))))))));	32	56	119	111	3	16
((*,*),(*,(*,(*,(*,((*,*),(*,(*,*))))))));	31	55	116	117	3	8
((*,*),(*,(*,(*,((*,*),(*,(*,(*,*))))))));	30	54	112	126	3	8
((*,*),(*,(*,(*,((*,*),((*,*),(*,*)))))));	27	53	110	129	4	32
((*,*),(*,(*,(*,((*,(*,*)),(*,(*,*)))))));	27	53	109	135	3	16
((*,*),(*,(*,((*,*),(*,(*,(*,(*,*))))))));	29	53	107	138	3	8
((*,*),(*,(*,((*,*),(*,((*,*),(*,*)))))));	26	52	105	141	4	32
((*,*),(*,(*,((*,*),((*,*),(*,(*,*)))))));	25	51	102	147	4	16
((*,*),(*,(*,((*,(*,*)),(*,(*,(*,*)))))));	25	51	100	162	3	8
((*,*),(*,(*,((*,(*,*)),((*,*),(*,*))))));	22	50	98	165	4	32
((*,*),(*,((*,*),(*,(*,(*,(*,(*,*))))))));	28	52	101	153	3	8
((*,*),(*,((*,*),(*,(*,((*,*),(*,*)))))));	25	51	99	156	4	32
((*,*),(*,((*,*),(*,((*,*),(*,(*,*)))))));	24	50	96	162	4	16
((*,*),(*,((*,*),((*,*),(*,(*,(*,*)))))));	23	49	92	171	4	16
((*,*),(*,((*,*),((*,*),((*,*),(*,*))))));	20	48	90	174	5	64
((*,*),(*,((*,*),((*,(*,*)),(*,(*,*))))));	20	48	89	180	4	32
((*,*),(*,((*,(*,*)),(*,(*,(*,(*,*)))))));	23	49	89	198	3	8
((*,*),(*,((*,(*,*)),(*,((*,*),(*,*))))));	20	48	87	201	4	32
((*,*),(*,((*,(*,*)),((*,*),(*,(*,*))))));	19	47	84	207	4	16
((*,*),(*,((*,(*,(*,*))),(*,(*,(*,*))))));	20	48	85	216	3	16
((*,*),(*,((*,(*,(*,*))),((*,*),(*,*)))));	17	47	83	219	4	32
((*,*),(*,(((*,*),(*,*)),((*,*),(*,*)))));	14	46	81	222	5	256
((*,*),((*,*),(*,(*,(*,(*,(*,(*,*))))))));	27	51	94	171	3	8
((*,*),((*,*),(*,(*,(*,((*,*),(*,*)))))));	24	50	92	174	4	32
((*,*),((*,*),(*,(*,((*,*),(*,(*,*)))))));	23	49	89	180	4	16
((*,*),((*,*),(*,((*,*),(*,(*,(*,*)))))));	22	48	85	189	4	16
((*,*),((*,*),(*,((*,*),((*,*),(*,*))))));	19	47	83	192	5	64
((*,*),((*,*),(*,((*,(*,*)),(*,(*,*))))));	19	47	82	198	4	32
((*,*),((*,*),((*,*),(*,(*,(*,(*,*)))))));	21	47	80	201	4	16
((*,*),((*,*),((*,*),(*,((*,*),(*,*))))));	18	46	78	204	5	64
((*,*),((*,*),((*,*),((*,*),(*,(*,*))))));	17	45	75	210	5	32
((*,*),((*,*),((*,(*,*)),(*,(*,(*,*))))));	17	45	73	225	4	16
((*,*),((*,*),((*,(*,*)),((*,*),(*,*)))));	14	44	71	228	5	64
((*,*),((*,(*,*)),(*,(*,(*,(*,(*,*)))))));	21	47	76	243	3	8
((*,*),((*,(*,*)),(*,(*,((*,*),(*,*))))));	18	46	74	246	4	32
((*,*),((*,(*,*)),(*,((*,*),(*,(*,*))))));	17	45	71	252	4	16
((*,*),((*,(*,*)),((*,*),(*,(*,(*,*))))));	16	44	67	261	4	16
((*,*),((*,(*,*)),((*,*),((*,*),(*,*)))));	13	43	65	264	5	64
((*,*),((*,(*,*)),((*,(*,*)),(*,(*,*)))));	13	43	64	270	4	32
((*,*),((*,(*,(*,*))),(*,(*,(*,(*,*))))));	17	45	67	288	3	8
((*,*),((*,(*,(*,*))),(*,((*,*),(*,*)))));	14	44	65	291	4	32
((*,*),((*,(*,(*,*))),((*,*),(*,(*,*)))));	13	43	62	297	4	16
((*,*),((*,(*,(*,(*,*)))),((*,*),(*,*))));	14	44	65	291	4	32
((*,*),((*,((*,*),(*,*))),((*,*),(*,*))));	11	43	63	294	5	128
((*,*),(((*,*),(*,*)),((*,*),(*,(*,*)))));	10	42	60	300	5	64
((*,(*,*)),(*,(*,(*,(*,(*,(*,(*,*))))))));	27	51	88	252	2	4
((*,(*,*)),(*,(*,(*,(*,((*,*),(*,*)))))));	24	50	86	255	3	16
((*,(*,*)),(*,(*,(*,((*,*),(*,(*,*)))))));	23	49	83	261	3	8
((*,(*,*)),(*,(*,((*,*),(*,(*,(*,*)))))));	22	48	79	270	3	8
((*,(*,*)),(*,(*,((*,*),((*,*),(*,*))))));	19	47	77	273	4	32
((*,(*,*)),(*,(*,((*,(*,*)),(*,(*,*))))));	19	47	76	279	3	16
((*,(*,*)),(*,((*,*),(*,(*,(*,(*,*)))))));	21	47	74	282	3	8
((*,(*,*)),(*,((*,*),(*,((*,*),(*,*))))));	18	46	72	285	4	32
((*,(*,*)),(*,((*,*),((*,*),(*,(*,*))))));	17	45	69	291	4	16
((*,(*,*)),(*,((*,(*,*)),(*,(*,(*,*))))));	17	45	67	306	3	8
((*,(*,*)),(*,((*,(*,*)),((*,*),(*,*)))));	14	44	65	309	4	32
((*,(*,*)),((*,*),(*,(*,(*,(*,(*,*)))))));	20	46	68	297	3	8
((*,(*,*)),((*,*),(*,(*,((*,*),(*,*))))));	17	45	66	300	4	32
((*,(*,*)),((*,*),(*,((*,*),(*,(*,*))))));	16	44	63	306	4	16
((*,(*,*)),((*,*),((*,*),(*,(*,(*,*))))));	15	43	59	315	4	16
((*,(*,*)),((*,*),((*,*),((*,*),(*,*)))));	12	42	57	318	5	64
((*,(*,*)),((*,*),((*,(*,*)),(*,(*,*)))));	12	42	56	324	4	32
((*,(*,*)),((*,(*,*)),(*,(*,(*,(*,*))))));	15	43	56	342	3	8
((*,(*,*)),((*,(*,*)),(*,((*,*),(*,*)))));	12	42	54	345	4	32
((*,(*,*)),((*,(*,*)),((*,*),(*,(*,*)))));	11	41	51	351	4	16
((*,(*,*)),((*,(*,(*,*))),(*,(*,(*,*)))));	12	42	52	360	3	16
((*,(*,*)),((*,(*,(*,*))),((*,*),(*,*))));	9	41	50	363	4	32
((*,(*,*)),(((*,*),(*,*)),((*,*),(*,*))));	6	40	48	366	5	256
((*,(*,(*,*))),(*,(*,(*,(*,(*,(*,*)))))));	21	47	66	378	2	4
((*,(*,(*,*))),(*,(*,(*,((*,*),(*,*))))));	18	46	64	381	3	16
((*,(*,(*,*))),(*,(*,((*,*),(*,(*,*))))));	17	45	61	387	3	8
((*,(*,(*,*))),(*,((*,*),(*,(*,(*,*))))));	16	44	57	396	3	8
((*,(*,(*,*))),(*,((*,*),((*,*),(*,*)))));	13	43	55	399	4	32
((*,(*,(*,*))),(*,((*,(*,*)),(*,(*,*)))));	13	43	54	405	3	16
((*,(*,(*,*))),((*,*),(*,(*,(*,(*,*))))));	15	43	52	408	3	8
((*,(*,(*,*))),((*,*),(*,((*,*),(*,*)))));	12	42	50	411	4	32
((*,(*,(*,*))),((*,*),((*,*),(*,(*,*)))));	11	41	47	417	4	16
((*,(*,(*,*))),((*,(*,*)),(*,(*,(*,*)))));	11	41	45	432	3	8
((*,(*,(*,*))),((*,(*,*)),((*,*),(*,*))));	8	40	43	435	4	32
((*,(*,(*,(*,*)))),(*,(*,(*,(*,(*,*))))));	17	45	55	450	2	4
((*,(*,(*,(*,*)))),(*,(*,((*,*),(*,*)))));	14	44	53	453	3	16
((*,(*,(*,(*,*)))),(*,((*,*),(*,(*,*)))));	13	43	50	459	3	8
((*,(*,(*,(*,*)))),((*,*),(*,(*,(*,*)))));	12	42	46	468	3	8
((*,(*,(*,(*,*)))),((*,*),((*,*),(*,*))));	9	41	44	471	4	32
((*,(*,(*,(*,*)))),((*,(*,*)),(*,(*,*))));	9	41	43	477	3	16
((*,(*,(*,(*,(*,*))))),(*,((*,*),(*,*))));	14	44	53	453	3	16
((*,(*,(*,(*,(*,*))))),((*,*),(*,(*,*))));	13	43	50	459	3	8
((*,(*,(*,(*,(*,(*,*)))))),((*,*),(*,*)));	18	46	64	381	3	16
((*,(*,(*,((*,*),(*,*))))),((*,*),(*,*)));	15	45	62	384	4	64
((*,(*,((*,*),(*,*)))),(*,((*,*),(*,*))));	11	43	51	456	4	64
((*,(*,((*,*),(*,*)))),((*,*),(*,(*,*))));	10	42	48	462	4	32
((*,(*,((*,*),(*,(*,*))))),((*,*),(*,*)));	14	44	59	390	4	32
((*,((*,*),(*,*))),(*,((*,*),(*,(*,*)))));	10	42	48	462	4	32
((*,((*,*),(*,*))),((*,*),(*,(*,(*,*)))));	9	41	44	471	4	32
((*,((*,*),(*,*))),((*,*),((*,*),(*,*))));	6	40	42	474	5	128
((*,((*,*),(*,*))),((*,(*,*)),(*,(*,*))));	6	40	41	480	4	64
((*,((*,*),(*,(*,*)))),((*,*),(*,(*,*))));	9	41	45	468	4	16
((*,((*,*),(*,(*,(*,*))))),((*,*),(*,*)));	13	43	55	399	4	32
((*,((*,*),((*,*),(*,*)))),((*,*),(*,*)));	10	42	53	402	5	128
((*,((*,(*,*)),(*,(*,*)))),((*,*),(*,*)));	10	42	52	408	4	64
(((*,*),(*,*)),((*,*),(*,(*,(*,(*,*))))));	12	42	50	411	4	32
(((*,*),(*,*)),((*,*),(*,((*,*),(*,*)))));	9	41	48	414	5	128
(((*,*),(*,*)),((*,*),((*,*),(*,(*,*)))));	8	40	45	420	5	64
(((*,*),(*,*)),((*,(*,*)),(*,(*,(*,*)))));	8	40	43	435	4	32
(((*,*),(*,*)),((*,(*,*)),((*,*),(*,*))));	5	39	41	438	5	128
(((*,*),(*,(*,*))),((*,*),(*,(*,(*,*)))));	8	40	41	477	4	16
(((*,*),(*,(*,*))),((*,*),((*,*),(*,*))));	5	39	39	480	5	64
(((*,*),(*,(*,*))),((*,(*,*)),(*,(*,*))));	5	39	38	486	4	32
