newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,*))))))));	28	44	84	0	1	2
(*,(*,(*,(*,(*,((*,*),(*,*)))))));	25	43	82	3	2	8
(*,(*,(*,(*,((*,*),(*,(*,*)))))));	24	42	79	9	2	4
(*,(*,(*,((*,*),(*,(*,(*,*)))))));	23	41	75	18	2	4
(*,(*,(*,((*,*),((*,*),(*,*))))));	20	40	73	21	3	16
(*,(*,(*,((*,(*,*)),(*,(*,*))))));	20	40	72	27	2	8
(*,(*,((*,*),(*,(*,(*,(*,*)))))));	22	40	70	30	2	4
(*,(*,((*,*),(*,((*,*),(*,*))))));	19	39	68	33	3	16
(*,(*,((*,*),((*,*),(*,(*,*))))));	18	38	65	39	3	8
(*,(*,((*,(*,*)),(*,(*,(*,*))))));	18	38	63	54	2	4
(*,(*,((*,(*,*)),((*,*),(*,*)))));	15	37	61	57	3	16
(*,((*,*),(*,(*,(*,(*,(*,*)))))));	21	39	64	45	2	4
(*,((*,*),(*,(*,((*,*),(*,*))))));	18	38	62	48	3	16
(*,((*,*),(*,((*,*),(*,(*,*))))));	17	37	59	54	3	8
(*,((*,*),((*,*),(*,(*,(*,*))))));	16	36	55	63	3	8
(*,((*,*),((*,*),((*,*),(*,*)))));	13	35	53	66	4	32
(*,((*,*),((*,(*,*)),(*,(*,*)))));	13	35	52	72	3	16
(*,((*,(*,*)),(*,(*,(*,(*,*))))));	16	36	52	90	2	4
(*,((*,(*,*)),(*,((*,*),(*,*)))));	13	35	50	93	3	16
(*,((*,(*,*)),((*,*),(*,(*,*)))));	12	34	47	99	3	8
(*,((*,(*,(*,*))),(*,(*,(*,*)))));	13	35	48	108	2	8
(*,((*,(*,(*,*))),((*,*),(*,*))));	10	34	46	111	3	16
(*,(((*,*),(*,*)),((*,*),(*,*))));	7	33	44	114	4	128
((*,*),(*,(*,(*,(*,(*,(*,*)))))));	20	38	57	63	2	4
((*,*),(*,(*,(*,((*,*),(*,*))))));	17	37	55	66	3	16
((*,*),(*,(*,((*,*),(*,(*,*))))));	16	36	52	72	3	8
((*,*),(*,((*,*),(*,(*,(*,*))))));	15	35	48	81	3	8
((*,*),(*,((*,*),((*,*),(*,*)))));	12	34	46	84	4	32
((*,*),(*,((*,(*,*)),(*,(*,*)))));	12	34	45	90	3	16
((*,*),((*,*),(*,(*,(*,(*,*))))));	14	34	43	93	3	8
((*,*),((*,*),(*,((*,*),(*,*)))));	11	33	41	96	4	32
((*,*),((*,*),((*,*),(*,(*,*)))));	10	32	38	102	4	16
((*,*),((*,(*,*)),(*,(*,(*,*)))));	10	32	36	117	3	8
((*,*),((*,(*,*)),((*,*),(*,*))));	7	31	34	120	4	32
((*,(*,*)),(*,(*,(*,(*,(*,*))))));	14	34	39	135	2	4
((*,(*,*)),(*,(*,((*,*),(*,*)))));	11	33	37	138	3	16
((*,(*,*)),(*,((*,*),(*,(*,*)))));	10	32	34	144	3	8
((*,(*,*)),((*,*),(*,(*,(*,*)))));	9	31	30	153	3	8
((*,(*,*)),((*,*),((*,*),(*,*))));	6	30	28	156	4	32
((*,(*,*)),((*,(*,*)),(*,(*,*))));	6	30	27	162	3	16
((*,(*,(*,*))),(*,(*,(*,(*,*)))));	10	32	30	180	2	4
((*,(*,(*,*))),(*,((*,*),(*,*))));	7	31	28	183	3	16
((*,(*,(*,*))),((*,*),(*,(*,*))));	6	30	25	189	3	8
((*,(*,(*,(*,*)))),((*,*),(*,*)));	7	31	28	183	3	16
((*,((*,*),(*,*))),((*,*),(*,*)));	4	30	26	186	4	64
(((*,*),(*,*)),((*,*),(*,(*,*))));	3	29	23	192	4	32
