newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,*))))));	15	27	35	0	1	2
(*,(*,(*,((*,*),(*,*)))));	12	26	33	3	2	8
(*,(*,((*,*),(*,(*,*)))));	11	25	30	9	2	4
(*,((*,*),(*,(*,(*,*)))));	10	24	26	18	2	4
(*,((*,*),((*,*),(*,*))));	7	23	24	21	3	16
(*,((*,(*,*)),(*,(*,*))));	7	23	23	27	2	8
((*,*),(*,(*,(*,(*,*)))));	9	23	21	30	2	4
((*,*),(*,((*,*),(*,*))));	6	22	19	33	3	16
((*,*),((*,*),(*,(*,*))));	5	21	16	39	3	8
((*,(*,*)),(*,(*,(*,*))));	5	21	14	54	2	4
((*,(*,*)),((*,*),(*,*)));	2	20	12	57	3	16
