newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,*))))))))))))));	91	119	455	0	1	2
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,*)))))))))))));	88	118	453	3	2	8
(*,(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,*)))))))))))));	87	117	450	9	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,*)))))))))))));	86	116	446	18	2	4
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,*))))))))))));	83	115	444	21	3	16
(*,(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,*))))))))))));	83	115	443	27	2	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,*)))))))))))));	85	115	441	30	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,*))))))))))));	82	114	439	33	3	16
(*,(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,*))))))))))));	81	113	436	39	3	8
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,*))))))))))));	81	113	434	54	2	4
(*,(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,*)))))))))));	78	112	432	57	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,*)))))))))))));	84	114	435	45	2	4
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,*))))))))))));	81	113	433	48	3	16
(*,(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,*))))))))))));	80	112	430	54	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,*))))))))))));	79	111	426	63	3	8
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,*)))))))))));	76	110	424	66	4	32
(*,(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,*)))))))))));	76	110	423	72	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,*))))))))))));	79	111	423	90	2	4
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,*)))))))))));	76	110	421	93	3	16
(*,(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,*)))))))))));	75	109	418	99	3	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,*)))))))))));	76	110	419	108	2	8
(*,(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),((*,*),(*,*))))))))));	73	109	417	111	3	16
(*,(*,(*,(*,(*,(*,(*,(((*,*),(*,*)),((*,*),(*,*))))))))));	70	108	415	114	4	128
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,(*,(*,(*,*)))))))))))));	83	113	428	63	2	4
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,(*,((*,*),(*,*))))))))))));	80	112	426	66	3	16
(*,(*,(*,(*,(*,(*,((*,*),(*,(*,((*,*),(*,(*,*))))))))))));	79	111	423	72	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),(*,(*,(*,*))))))))))));	78	110	419	81	3	8
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,*),((*,*),(*,*)))))))))));	75	109	417	84	4	32
(*,(*,(*,(*,(*,(*,((*,*),(*,((*,(*,*)),(*,(*,*)))))))))));	75	109	416	90	3	16
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,(*,(*,(*,*))))))))))));	77	109	414	93	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,*),(*,((*,*),(*,*)))))))))));	74	108	412	96	4	32
(*,(*,(*,(*,(*,(*,((*,*),((*,*),((*,*),(*,(*,*)))))))))));	73	107	409	102	4	16
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),(*,(*,(*,*)))))))))));	73	107	407	117	3	8
(*,(*,(*,(*,(*,(*,((*,*),((*,(*,*)),((*,*),(*,*))))))))));	70	106	405	120	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,(*,(*,(*,*))))))))))));	77	109	410	135	2	4
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,(*,((*,*),(*,*)))))))))));	74	108	408	138	3	16
(*,(*,(*,(*,(*,(*,((*,(*,*)),(*,((*,*),(*,(*,*)))))))))));	73	107	405	144	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),(*,(*,(*,*)))))))))));	72	106	401	153	3	8
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,*),((*,*),(*,*))))))))));	69	105	399	156	4	32
(*,(*,(*,(*,(*,(*,((*,(*,*)),((*,(*,*)),(*,(*,*))))))))));	69	105	398	162	3	16
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,(*,(*,(*,*)))))))))));	73	107	401	180	2	4
(*,(*,(*,(*,(*,(*,((*,(*,(*,*))),(*,((*,*),(*,*))))))))));	70	106	399	183	3	16
